Date,Stage,Quality
1/07/2023,10.12,99
2/07/2023,10.116,99
3/07/2023,10.185,99
4/07/2023,10.248,99
5/07/2023,10.2,99
6/07/2023,10.169,99
7/07/2023,10.149,99
8/07/2023,10.136,99
9/07/2023,10.134,99
10/07/2023,10.128,99
11/07/2023,10.119,99
12/07/2023,10.12,99
13/07/2023,10.133,99
14/07/2023,10.141,99
15/07/2023,10.134,99
16/07/2023,10.128,99
17/07/2023,10.117,99
18/07/2023,10.126,99
19/07/2023,10.252,99
20/07/2023,10.193,99
21/07/2023,10.181,99
22/07/2023,10.158,99
23/07/2023,10.132,99
24/07/2023,10.13,99
25/07/2023,10.13,99
26/07/2023,10.274,99
27/07/2023,10.259,99
28/07/2023,10.186,99
29/07/2023,10.183,99
30/07/2023,10.166,99
31/07/2023,10.152,99
1/08/2023,10.133,99
2/08/2023,10.134,99
3/08/2023,10.148,99
4/08/2023,10.129,99
5/08/2023,10.128,99
6/08/2023,10.124,99
7/08/2023,10.119,99
8/08/2023,10.138,99
9/08/2023,10.14,99
10/08/2023,10.14,99
11/08/2023,10.159,99
12/08/2023,10.135,99
13/08/2023,10.129,99
14/08/2023,10.123,99
15/08/2023,10.331,99
16/08/2023,10.357,99
17/08/2023,10.218,99
18/08/2023,10.171,99
19/08/2023,10.154,99
20/08/2023,10.139,99
21/08/2023,10.145,99
22/08/2023,10.134,99
23/08/2023,10.136,99
24/08/2023,10.126,99
25/08/2023,10.134,99
26/08/2023,10.124,99
27/08/2023,10.129,99
28/08/2023,10.121,99
29/08/2023,10.119,99
30/08/2023,10.115,99
31/08/2023,10.115,99
1/09/2023,10.125,99
2/09/2023,10.161,99
3/09/2023,10.197,99
4/09/2023,10.171,99
5/09/2023,10.167,99
6/09/2023,10.16,99
7/09/2023,10.138,99
8/09/2023,10.124,99
9/09/2023,10.119,99
10/09/2023,10.127,99
11/09/2023,10.116,99
12/09/2023,10.119,99
13/09/2023,10.226,99
14/09/2023,10.248,99
15/09/2023,10.183,99
16/09/2023,10.15,99
17/09/2023,10.14,99
18/09/2023,10.125,99
19/09/2023,10.124,99
20/09/2023,10.122,99
21/09/2023,10.114,99
22/09/2023,10.122,99
23/09/2023,10.11,99
24/09/2023,10.11,99
25/09/2023,10.12,99
26/09/2023,10.111,99
27/09/2023,10.107,99
28/09/2023,10.117,99
29/09/2023,10.106,99
30/09/2023,10.104,99
1/10/2023,10.116,99
2/10/2023,10.141,99
3/10/2023,10.128,99
4/10/2023,10.115,99
5/10/2023,10.108,99
6/10/2023,10.114,99
7/10/2023,10.102,99
8/10/2023,10.102,99
9/10/2023,10.111,99
10/10/2023,10.1,99
11/10/2023,10.103,99
12/10/2023,10.1,99
13/10/2023,10.109,99
14/10/2023,10.098,99
15/10/2023,10.097,99
16/10/2023,10.096,99
17/10/2023,10.109,99
18/10/2023,10.098,99
19/10/2023,10.098,99
20/10/2023,10.097,99
21/10/2023,10.108,99
22/10/2023,10.098,99
23/10/2023,10.097,99
24/10/2023,10.095,99
25/10/2023,10.093,99
26/10/2023,10.104,99
27/10/2023,10.092,99
28/10/2023,10.092,99
29/10/2023,10.092,99
30/10/2023,10.091,99
31/10/2023,10.102,99
1/11/2023,10.091,99
2/11/2023,10.089,99
3/11/2023,10.09,99
4/11/2023,10.089,99
5/11/2023,10.089,99
